"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen waarin worden gebezigd krachtswerktuigen, gedreven door stoom, gas, heete lucht, enz.; water of wind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der Beroepsklasse ,Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Nummer der Beroepsklasse,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,21,Fabricage van cacao,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,4,1,,,4,1,21,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,22,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,22,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,23,id.,D,,,,,,,,1,,,1,,,,,,1,,,,,2,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,3,3,,1,3,4,23,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,24,Fabricage van chocolaad,A,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,3,1,1,,,,,,1,,,,,,,,,,,,8,1,1,,9,1,24,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,25,id.,C,,,,,,,,,,,,,,,2,,1,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,3,,1,2,4,25,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,26,id.,D,,,,2,,11,3,16,8,,13,,9,1,11,,11,2,4,,4,19,7,,4,14,2,,2,8,3,,1,3,,,,1,,,,1,,,,,,,,49,69,,42,49,111,26,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,f,,"Koffie (bewerking van), cichorei, koffiestroop, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,27,Fabricage van cichorei en koffiestroop,D,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,27,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,28,Koffiebranders,A,,,,,,,,,,,,,,1,,,,,,,,1,,,,7,,1,,8,,,,,,,,,,,,,,,,,,,,17,,1,,18,,28,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,29,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,29,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,30,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,30,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,31,id.,D,,,,,,,1,,1,,2,,2,,3,1,13,3,3,1,2,8,3,1,2,10,,,,1,1,,,,,1,,1,,,,,,,,,,,,23,12,4,21,27,33,31,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,32,Koffiepellers,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,32,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,33,id.,D,,,,,,,,,,,,,1,,,,1,,1,2,,3,2,1,,1,,,,2,,,,1,,,,,,,,,,,,,,,,7,3,3,2,10,5,33,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,34,Koffiesorteerders,A,,,,,,,,,,,,,,,,,1,,,,1,,2,,,,1,,,3,,,,1,,,,1,,,,,,,,,,,,5,3,,2,5,5,34,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,35,id.,D,,,,,,,1,,9,,,,7,,1,8,33,,,2,5,2,,11,9,3,,5,3,1,,3,,1,,,,,,1,,,,1,,,,,,7,1,31,67,38,68,35,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,g,,Verduurzaamde levensmiddelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,36,Fabricage van comestibles,A,,,,,,,,,,,,,,,,,,,,,,,1,,,3,2,,,3,,,,1,,,,,,,,,,,,,,,,7,3,,,7,3,36,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,37,id.,C,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,37,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,38,id.,D,,,,,,,,1,,,1,,,1,1,,1,,,,,,,,,1,,,,,,1,,1,,,,,,1,,,,,,,,,,3,3,2,1,5,4,38,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,39,Fabricage van mosterd,A,,,,,,,,,,,,,,,,,,,1,,,2,,,,3,,,1,1,,,,,,,,,,,,,,,,,,,,6,1,,1,6,2,39,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,40,id.,D,,,,,,1,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,3,,,2,3,40,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,41,Fabricage van oranjesnippers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,41,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,42,id.,D,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,3,1,,,3,1,42,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,43,Fabricage van verduurzaamde levensmiddelen,A,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,43,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,44,id.,D,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,44,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,h,,Vleeschbewerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,45,Fabricage van vleeschwaren,A,,,,,,,,,,,,,,,,,,,,,,2,,,,3,1,,,3,,,,,,,,,,,,,,,,,,,,8,1,,,8,1,45,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,46,id.,D,,,,,,,,2,,,2,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,3,5,46,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,47,Paardenslachters,A,,,,,,,,,,,,,,,,,,,,1,,7,1,,,6,1,,2,2,,1,,1,,,,,,,,,,,,,,,,16,2,2,2,18,4,47,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,48,id.,D,,,,,,1,,1,,,1,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,3,3,48,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,49,Poeliers,A,,,,,,1,,,,,,,,,3,,,2,3,1,,9,5,,,28,1,1,,12,1,2,,2,,,,2,,1,,2,,,,,,,,57,14,5,,62,14,49,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,,,50,id.,D,,,,,,,,6,,,11,,,1,19,,,,2,,,8,9,,,9,2,,,5,1,,,1,,,,1,,,,,,,,,,,,25,50,,,25,50,50,BT ,1889_02_T1,34,35,HET RIJK,29_0386
,XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,1,Spekslagers,A,,,,,,,,,,,,,,1,5,,,11,5,,,112,26,,,108,1,2,,36,,,1,5,,,,5,,,,3,,,,,,,,281,37,2,1,283,38,1,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,2,Id.,B,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,2,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,3,Id.,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,3,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,4,Id.,D,,1,,7,,14,,54,,,58,,,6,168,,,6,46,,,41,59,2,,45,9,2,,8,3,2,,1,,,,2,,,,2,,,,,,,,111,419,6,,117,419,4,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,5,Vleeschhouwers,A,,,,,,,,,,,2,,,3,16,,,20,20,,,212,36,1,1,235,10,8,1,82,,3,,29,,1,,16,,1,,4,1,1,,,,,,601,85,15,2,616,87,5,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,6,Id.,B,,,,,,,,,,,,,,,2,,,,,,,2,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,4,3,,,4,3,6,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,7,Id.,C,,,,,,,,,,,1,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,7,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,8,Id.,D,,1,,22,,72,,187,,,253,,,20,497,,,33,119,,,257,201,,,196,29,,,62,6,,,22,2,,,15,1,,,7,,,,,,,,612,1390,,,612,1390,8,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,I,,Vischbewerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,9,Haringpakkers,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,10,Stokvischbeukers,D,,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,10,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,11,Vischdroogers,D,,,,,,2,,3,,,2,,,,6,,,2,,,,4,2,,,7,,,,1,,,,1,,,,,,,,,,,,,,,,15,15,,,15,15,11,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,12,Vischrookers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,4,,12,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,13,Id.,D,,,,,,,,1,,,,,,,,,,,,,,5,2,,,4,,,,1,,,,1,,,,,,,,,,,,,,,,11,3,,,11,3,13,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,14,Vischschoonmakers,D,,,,,,,,,,,,,,,,,2,1,,,,1,,4,,,,3,,,,1,,2,,1,,1,,,,,,1,,,,,,5,,10,2,15,2,14,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,K,,Boter- en kaasbereiding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,15,Fabricage van boter,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,15,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,16,Id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,16,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,17,Id.,C,,,,,,,,,,,,,,,,,,,1,,,2,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,5,2,,,5,2,17,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,18,Id.,D,,,,1,,,,2,,,2,,,2,12,,,1,1,,,12,6,,,10,1,,,2,,,,,,,,,,,,,,,,,,,,27,25,,,27,25,18,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,19,Fabricage van boter en kaas,B,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,19,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,20,Id.,D,,,,,,1,,,,,1,,,1,,,,1,,,,5,1,,,5,,,,1,,,,,,,,,,,,,,,,,,,,13,3,,,13,3,20,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,21,Fabricage van kunstboter,A,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,2,1,1,,3,1,21,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,22,Id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,22,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,23,Id.,C,,,,,,,,,,,1,,,,,,,,,,,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,3,2,,,3,2,23,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,24,Id.,D,,,,,,,,3,,,6,,,1,13,,,3,3,,,39,4,,,23,,,,8,,,,2,,,,1,,,,,,,,,,,,77,29,,,77,29,24,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,25,Fabricage van hulpmiddelen voor de zuivelbereiding,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,25,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,L ,,"Vruchtsappen, mineraalwater, ijsbereiding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,26,Fabricage van kunstijs,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,26,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,27,Id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,27,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,28,Id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,28,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,29,Id.,D,,,,,,,,1,,,1,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,6,2,29,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,30,Fabricage van minerale wateren,A,,,,,,,,,,,,,,,,,,,,,,3,2,,,13,,,,6,,1,,1,1,,,,1,,,,,,,,,,,23,4,1,,24,4,30,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,31,Id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,31,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,32,Id.,C,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,32,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,33,Id.,D,,,,,,,,2,,,2,,,,9,,,2,1,,,4,1,,,5,1,,,1,,,,1,,,,,,,,,,,,,,,,13,16,,,13,16,33,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,34,Fabricage van vruchtensappen,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,34,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,M,,"Jenever- en likeurstokerijen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,35,Branders (fabricage van alcohol),A,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,,,,,,,,,1,,1,,,,1,,,,,,,,4,2,1,,5,2,35,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,36,Id.,C,,,,,,,,,,,,,,,2,,,,,,,6,,,,8,,,,1,,1,,,,,,,,,,,,,,,,,,15,2,1,,16,2,36,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,37,Id.,D,,,,,,,,3,,,2,,,1,8,,,3,2,,,6,10,,,69,,,,26,,,,2,,,,2,,,,,,,,,,,,109,25,,,109,25,37,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,38,Distillateurs,A,,,,,,,,,,,,,,,,,,,,,,5,4,1,,20,1,1,,13,1,,,21,1,,,1,1,1,,3,1,,,,,,,63,9,3,,66,9,38,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,39,Id.,B,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,5,1,,,5,1,39,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,40,Id.,C,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,40,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,41,Id.,D,,,,,,3,,5,,,3,,,,5,,,1,4,,,14,7,,,16,1,,,12,1,,,2,,,,1,,,,1,,,,,,,,47,29,,,47,29,41,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,42,Fabricage van gist,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,42,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,43,Id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,43,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,44,Id.,D,,,,,,,,,,,2,,,,2,,,,,,,3,,,,3,1,,,2,,,,1,,,,,,,,,,,,,,,,9,5,,,9,5,44,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,45,Fabricage van likeuren,A,,,,,,,,,,,,,,,1,,,,,,,11,2,,,9,1,,,4,1,,,1,,,,1,,,,2,,,,,,,,28,5,,,28,5,45,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,46,Id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,46,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,47,Id.,C,,,,,,,,,,,,,,,,,,,,,,8,,,,2,,,,1,,,,,,,,2,,,,,,,,,,,,13,,,,13,,47,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,48,Id.,D,,,,1,,,,5,,,17,,,6,31,,,7,10,,,47,8,,,36,8,,,20,,,,3,1,,,3,,,,,,1,,,,,,122,81,1,,123,81,48,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,N,,"Brouwerij, azijnmakerij, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,49,Bierbottelaars,A,,,,,,,,,,,1,,,,8,,,1,3,,,25,13,,,31,5,2,,9,,,,3,,,,1,,,,,,1,,,,,,70,30,3,,73,30,49,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,,,50,Id.,D,,1,,1,,,,12,,,28,,,5,49,,,6,14,,,30,19,,,21,2,,,7,1,,,2,,,,,,,,1,,,,,,,,72,127,,,72,127,50,BT ,1889_02_T1,36,37,HET RIJK,29_0387
,XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,1,Bierbrouwers,A,,,,,,,,,,,,,,,,,,,1,,,2,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,13,1,,,13,1,1,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,2,id.,B,,,,,,,,,,,,,,,,,,,,,,,2,,,3,1,,,1,,,,,,,,1,,,,,,,,,,,,5,3,,,5,3,2,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,3,id.,C,,,,,,,,,,,,,,,1,,,,2,,,6,2,,,7,1,,,1,,,,1,,,,,,,,,,,,,,,,15,6,,,15,6,3,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,4,id.,D,,,,,,3,,28,,,20,,,4,53,,,19,23,,,88,41,,,97,9,,,31,2,,,6,1,,,4,,,,5,,,,,,,,254,180,,,254,180,4,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,5,Fabricage van azijn,A,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,3,,,,1,,,,,,,,,,,,,,,,7,1,,,7,1,5,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,6,id.,C,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,6,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,7,id.,D,,,,,,,,,,,2,,,,5,,,,,,,5,1,,,11,,,,4,,,,,,,,,,,,,,,,,,,,20,8,,,20,8,7,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,8,Mouters,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,8,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,9,id.,C,,,,,,,,,,,,,,,,,,,,,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,9,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,10,id.,D,,,,1,,,,1,,,2,,,,3,,,1,2,,,14,2,,,10,,,,1,,,,,,,,,,,,,,,,,,,,26,11,,,26,11,10,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,11,Moutmolenaars,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,11,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,12,id.,D,,,,,,,,,,,1,,,,2,,,,1,,,1,,,,3,,,,4,,,,1,,,,,,,,,,,,,,,,9,4,,,9,4,12,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,o,,Tabaksverwerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,13,Fabricage van sigaren en tabak,A,,,,,,,,,,,3,,,2,36,,,11,22,1,,126,54,,,205,31,1,,97,8,1,,25,,,,9,1,,,4,2,,,,,,,479,157,3,,482,157,13,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,14,id.,B,,,,,,,,,,,,,,,1,,,,,,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,14,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,15,id.,C,,,,,,,,1,,,1,,,,7,,,3,2,,,6,2,1,1,5,1,,,6,2,,,2,,,,,,,,,,,,,,,,22,16,1,1,23,17,15,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,16,id.,D,,10,,38,3,97,9,260,22,,245,,33,43,342,3,24,52,85,2,4,491,112,8,9,481,77,11,5,218,24,3,1,43,3,3,1,19,11,1,,4,1,2,,,,,,1351,1305,33,111,1384,1416,16,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,17,Fabricage van snuif,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,17,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,18,Tabakskervers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,5,,,,5,,18,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,19,id.,D,,,,3,,5,1,7,5,,8,,8,1,23,1,11,1,5,,3,17,12,1,2,27,,4,1,21,2,,1,5,,,,4,,1,,1,,,,,,,,77,65,7,32,84,97,19,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,,Totaal voor XVI,A,,,,,,1,,,,,8,,,16,86,,1,65,69,3,3,793,191,7,2,1110,79,32,6,468,20,26,2,147,2,6,1,71,5,4,,48,4,6,,,,,,2718,465,84,15,2802,480,,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,,Totaal voor XVI,B,,,,,,,,4,,,3,,,,4,,,2,,1,,16,11,1,,32,3,1,,11,,,,4,1,1,,4,,,,1,,,,,,,,70,26,4,,74,26,,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,,Totaal voor XVI,C,,,,,,,,1,,,3,,,,23,,2,4,9,,,64,22,1,2,87,7,,,39,4,1,,10,,,,4,,,,3,,,,,,,,211,69,2,4,213,73,,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,,Totaal voor XVI,D,,18,,95,4,290,17,876,52,1,1123,1,71,130,2164,13,111,236,597,7,19,2004,998,29,32,2343,292,33,14,924,91,16,5,252,17,5,2,134,17,4,,58,6,6,,,,,,6082,6584,114,327,6196,6911,,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,,Totaal voor groep XVI,,,18,0,95,4,291,17,881,52,1,1137,1,71,146,2277,13,114,307,675,11,22,2877,1222,38,36,3581,381,66,20,1442,115,43,7,413,20,12,3,213,22,8,0,105,10,12,0,0,0,0,0,9085,7144,204,346,9289,7490,,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,XVII,,,Landbouwbedrijven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,a,,Land- of akkerbouw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,20,Directeuren cultuurmaatschappij,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,20,BT ,1889_02_T1,38,39,HET RIJK,29_0388
,,,21,Landbouwers,A,,,,,,,,,,,,,,2,2,,,,,,,14,2,,,29,3,1,,18,1,1,,8,,,,2,,,,8,,,,,,,,81,8,2,,83,8,21,BT ,1889_02_T1,38,39,HET RIJK,29_0388
