"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,,,B,,,,,,,,,,,,,,,,,1,,,,,,6,,,5,,3,,4,,,,1,,,,,,,,,,3,,,,,,10,6,6,1,16,7,,,,,,,,
,,,,,C,,,,,,,,2,,,3,,,1,10,,,,1,,,8,5,,,9,2,,,7,,,,,,,,,,,,,,,,,,,,25,23,,,25,23,,,,,,,,
,,,,,D,,1,1,5,1,4,,40,3,,49,,6,8,122,,1,20,51,,1,129,77,2,2,128,13,6,1,58,1,7,1,20,1,,,12,2,1,,6,2,1,,,,,,381,368,17,17,398,385,,,,,,,,
,,,,XXV-XXXV,,,,,,2,,4,1,9,,1,,27,,4,,32,,2,1,10,5,10,,19,9,3,3,7,7,,2,1,3,1,,1,1,,,,4,1,,,,,,,29,23,6,112,35,135,,,,,,,,
,,,,zonder beroep,,,713,717,51,54,34,62,68,94,,35,1,79,,46,39,132,,3,36,39,3,4,226,67,1,5,316,36,5,3,176,21,14,1,70,4,16,4,67,1,43,3,91,6,,,,,82,970,1022,1312,1104,2282,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XXXIV,,,1,1,5,1,4,0,113,3,0,52,0,8,12,207,0,178,30,69,0,1,218,124,3,14,307,41,341,12,169,5,25,6,76,1,7,3,37,3,7,1,28,3,8,0,0,0,0,0,941,1475,1100,1488,2041,2963,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3,3,,37,3,1,,,,,,,
,II,,,Gemeente Sappemeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,,,,,,
,,,,"Boek- steendrukkerij, hout-, koper, staalgravure, fotografie enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,73,,,9,73,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,4,,,,,,,
,,,,"a. Boekdrukkerij, Lettervervaardiging enz. ( incl. landsdrukerij)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,2,1,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,2,2,6,,,,,,,
,,,5,Boekbinders,D,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,Boekdrukkers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,7,,,,,,,
,,,7,Letterzeters,D,,,,,,,,2,,,,,,,2,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,41,11,,3,41,14,8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor II,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,,,,,,,
,,,,Totaal voor II,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,10,,,,,,,
,,,,Totaal voor II,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,,,,,,,
,,,,Totaal voor II,D,,,,,,,,2,,,,,,,3,,,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,12,,,,,,,
,,,,Totaal voor groep II,,,,,,,,,2,,,,,,,3,,,1,,,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,III,,,"Bouwbedrijven (incl. reiniging van gebouwen en aanleggen, onderhouden en reinigen van wegen en straten: ook gemeentelijke dienst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,14,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,15,,,,,,,
,,,,"b.  Bouw van huizen, molens , enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,,,6,11,16,,,,,,,
,,,8,Architecten,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,17,,,,,,,
,,,9,Molenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,18,,,,,,,
,,,11,Timmerlieden,A,,,,,,,,,,,,,,,1,,,,,,,2,1,,,8,,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,12,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,19,,,,,,,
,,,13,id.,D,,,,2,,,,3,,,3,,,1,5,,,1,5,,,17,7,,,17,1,,,6,,,,2,,,,,,,,,,,,,,,,2,1,,,2,1,20,,,,,,,
,III,C.,,"Afwerken van huizen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0068,,,,,,
,,,1,Huisschilders,A,,,,,,,,,,,,,,,,,,,,,,6,1,,,3,,,,3,,,,1,,,,,,,,,,,,,,,,13,1,,,13,1,1,,,,,,,
,,,2,id.,D,,,,,,,,1,,,5,,,,5,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,1,14,2,,,,,,,
,,,3,Stukadoors,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,,,,,,,
,,,4,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,4,,,,,,,
,,D.,,Openbare werken.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,Aannemers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,5,,,,,,,
,,E.,,"Reiniging van bouwwerken, wegen en straten.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,Schoorsteenvegers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor III,A,,,,,,,,,,,,,,,1,,,,,,,9,3,,,11,,,,7,,,,4,,,,1,,,,1,,,,,,,,33,4,,,33,4,,,,,,,,
,,,,Totaal voor III,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,
,,,,Totaal voor III,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor III,D,,,,2,,,,4,,,9,,,1,12,,,1,6,,,18,10,,,6,2,,,13,,,,6,,,,1,,,,1,,,,,,,,47,45,,,47,45,,,,,,,,
,,,,Totaal voor groep III,,,0,0,2,0,0,0,4,0,0,9,0,0,1,13,0,0,1,6,0,0,27,13,0,0,18,2,0,0,20,0,0,0,10,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,81,49,,,81,49,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IV,,,"Chemische nijverheid, meststoffen, ontplofbare stoffen, verfstoffen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,,Chemische nijverheid (incl. apotheken),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,Apothekers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,7,,,,,,,
,,,8,"Fabricage van chemicaliën (aether, amoniak, chinine, houtteer, glycerine, soda, enz.",D,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,
,,,,Totaal voor IV,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,
,,,,Totaal voor IV,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor IV,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor IV,D,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
,,,,Totaal voor groep IV,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,,,2,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,V,,,"Hout-, kurk-, stroobewerking, snij- en draaiwerk van verschillende stoffen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,,Hout.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,Fabricage van meubels (meubelmakers.),A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,9,,,,,,,
,,,10,id.,D,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,10,,,,,,,
,,,11,Fabricage van stoelen,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,,,,,,,
,,,12,Houtzagers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,12,,,,,,,
,,,13,id.,D,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,13,,,,,,,
,,,14,Kuipers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,14,,,,,,,
,,,15,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,15,,,,,,,
,,B.,,"Kurk-, stroo-, borstelwerk, vlechtwerk van verschillende stoffen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,Fabricage van borstels,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,16,,,,,,,
,,,17,id.,D,,,,,,1,,,,,,,,,4,,,1,,,,4,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,7,7,17,,,,,,,
,,,18,Fabricage van manden en mandenwerk,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,3,,18,,,,,,,
,,,19,id.,D,,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,19,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,V,C.,,Snij- en draaiwerk van verschillende stoffen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0069,,,,,,
,,,1,"Draaiers (hout-, been-, ivoor-, enz.)",D,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor V,A,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,3,,,,1,,,,,,,,,,,,,,,,10,,,,10,,,,,,,,,
,,,,Totaal voor V,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor V,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor V,D,,,,,,2,,,,,1,,,,11,,,1,,,,5,3,,,6,1,,,1,,,,,,,,,,,,,,,,,,,,13,18,,,13,18,,,,,,,,
,,,,Totaal voor groep V,,,0,0,0,0,2,0,0,0,0,1,0,0,0,11,0,0,1,0,0,0,7,3,0,0,10,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,,,23,18,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VI,,,Kleeding en reiniging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,,"Kleeding, bedden, haarwerk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,Kleermakers,A,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,3,1,,,1,1,,,2,1,,,1,1,,,,,,,11,4,,,11,4,2,,,,,,,
,,,3,id.,D,,,,,,1,,,,,2,,,,4,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,11,,,,11,3,,,,,,,
,,,4,Modisten,A,,,,,,,,,,,,,,,,,4,,,,,,,1,3,,,,3,,,,1,,,,1,,,,,,,,,,,,,,,1,12,1,12,4,,,,,,,
,,,5,id.,D,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,4,5,,,,,,,
,,,6,Naaisters,A,,,,,,,,,,,,,,,,1,5,,,,,,,,4,,,4,3,,,1,2,,,,,,,,,,,1,1,,,,,,,7,15,7,15,6,,,,,,,
,,,7,id.,D,,,,,,,1,,,,,,3,,,,3,,,1,,,,1,5,,,1,2,,,,,,,,,,,1,,,,,,,,,,,,4,14,4,14,7,,,,,,,
,,B.,,"Reiniging, bleekerij, ververij.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,Barbiers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,2,1,,,2,1,8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor VI,A,,,,,,,,,,,,,,,,1,9,,,,,4,,1,7,1,,4,6,4,1,1,3,1,1,,1,2,2,,,1,1,1,1,,,,,13,5,8,27,21,32,,,,,,,,
,,,,Totaal voor VI,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor VI,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor VI,D,,,,,,1,1,,,,2,,3,,4,,5,,1,1,,,1,1,5,,1,1,2,,,,2,,1,,,,,1,,,,,,,,,,,11,4,18,4,29,,,,,,,,
,,,,Totaal voor groep VI,,,,,,,1,1,,,,2,,3,,4,1,14,,1,1,,4,1,2,12,1,1,5,8,4,1,1,5,1,2,,1,2,2,1,,1,1,1,1,,,,,13,16,12,45,25,61,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VIII,,,"Leder, wasdoek, caoutchouc, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,,Leder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,Fabricage van schoenen (schoenmakers),A,,,,,,,,,,,,,,,1,,,,,,,3,,,,11,2,,,4,,,,,1,,,,,,,2,,,,,,,,20,4,,,20,4,9,,,,,,,
,,,10,id.,D,,,,,,2,,2,,,4,,,,9,,,,2,,,1,7,,,2,,,,2,,,,,,,,,,,,,,,,,,,,5,26,,,5,26,10,,,,,,,
,,,11,Leerlooiers,A,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,1,,3,,11,,,,,,,
,,,12,id.,D,,,,,,1,,,,,,,,,1,,,1,,,,1,,,,3,,,,2,,,,,,,,,,,,1,,,,,,,,8,2,,,8,2,12,,,,,,,
,,,13,Zadelmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor VIII,A,,,,,,,,,,,,,,,1,,,,,,,4,,1,,12,2,,,5,,,,,1,,,,,,,2,,,,,,,,23,4,1,,24,4,,,,,,,,
,,,,Totaal voor VIII,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor VIII,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor VIII,D,,,,,,3,,2,,,4,,,,10,,,1,2,,,2,7,,,5,,,,4,,,,,,,,,,,,1,,,,,,,,13,28,,,13,28,,,,,,,,
,,,,Totaal voor groep VIII,,,,,,,3,,2,,,4,,,,11,,,1,2,,,6,7,1,,17,2,,,9,,,,,1,,,,,,,3,,,,,,,,36,32,1,,37,32,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IX,,,Metalen (bewerking van),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,,Edele metalen en munten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,Goudsmeden,D,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,14,,,,,,,
,,B.,,Niet-edele metalen (behalve ijzer.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,Koperslagers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,3,,1,,4,,15,,,,,,,
,,,16,id.,D,,,,1,,1,,1,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,1,7,16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,C.,,IJzer en staal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0070,,,,,,
,,,1,Smeden en slotenmakers,A,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,1,,,,,,6,2,1,,7,2,1,,,,,,,
,,,2,id.,D,,,,,,,,4,,,4,,,,12,,,1,3,,,5,4,,,6,1,,,3,1,,,2,,,,,,,,,,,,,,,,17,29,,,17,29,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor X,A,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,7,,1,,,,,,,,,,,,1,,,,,,9,2,2,,11,2,,,,,,,,
,,,,Totaal voor X,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor X,D,,,,1,,1,,5,,,6,,,,16,,,1,3,,,5,5,,,1,1,,,10,1,,,2,,,,,,,,,,,,,,,,19,39,,,19,39,,,,,,,,
,,,,Totaal voor groep X,,,0,0,1,0,1,0,5,0,0,6,0,0,0,16,0,0,1,3,0,0,6,7,0,0,2,1,0,0,17,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,41,2,,30,41,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XI,,,"Papier, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,,Papier en kartonvervaardiging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,Fabricage van papier,C,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,3,,,,,,,
,,,4,id.,D,,,,2,,,,10,,,5,,1,2,17,1,,3,3,,,29,13,,,20,3,1,,16,,1,,7,,,,,,,,,,,,,,,,77,53,3,1,80,54,4,,,,,,,
,,B.,,Papier- en kartonbewerking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,Zakkenplakkers,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XI,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XI,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XI,C,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
,,,,Totaal voor XI,D,,,,2,,,,10,,,5,,1,2,17,1,,3,3,,,29,13,,,20,3,3,,16,,1,,7,,,,,,,,,,,,,,,,77,53,5,1,82,54,,,,,,,,
,,,,Totaal voor groep XI,,,0,0,2,0,0,0,10,0,0,5,0,1,2,17,1,0,3,3,0,0,29,13,0,0,20,4,3,0,17,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,54,5,1,83,55,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XII,,,"Scheepsbouw, vervaardiging van rijtuigen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,,Scheepsbouw (incl. marine-inrichtingen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,Blok- en mastenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,,2,,6,,,,,,,
,,,7,id.,D,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,7,,,,,,,
,,,8,Scheepsmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,5,,,,5,,8,,,,,,,
,,,9,id.,D,,,,1,,2,,1,,,2,,,,10,,,1,4,,,2,2,,,7,,,,11,,,,3,,,,5,,,,,,,,,,,,29,22,,,29,22,9,,,,,,,
,,B.,,"Rijtuigen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
