"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1877",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,5,Distillateurs,A,,,,,,,,,,,,,,,,,,,,,,3,2,2,,9,,1,,4,,,,1,,1,,1,,,,1,,,,,,,,19,2,4,,23,2,5,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,6,id.,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,6,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,7,id.,D,,,,,,,,1,,,1,,,,1,,,,,,,8,1,,,16,1,,,10,,,,2,,,,1,,,,,,,,,,,,37,5,,,37,5,7,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,8,Fabricage van gist,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,8,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,9,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,9,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,10,id.,D,,,,,,,,2,,,1,,,1,1,,,,1,,,17,2,,,28,,,,6,,,,1,,,,1,,,,,,,,,,,,54,7,,,54,7,10,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,11,Fabricage van likeuren,A,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,1,,,,1,,,,,,,,,,,,,,,,7,,,,7,,11,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,12,id.,D,,,,,,,,1,,,6,,,1,3,,,,1,,,4,4,,,9,,,,2,,,,1,,,,,,,,,,,,,,,,17,15,,,17,15,12,BT,1889_02_T3,160,161,HET RIJK,29_0449
,n,,"Brouwerij, azijnmakerij, enz. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,13,Bierbottelaars,A,,,,,,,,,,,1,,,,3,,,,1,,,14,5,1,,13,3,,,5,,1,,2,,,,1,,,,,,,,,,,,35,13,2,,37,13,13,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,14,id.,B,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,14,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,15,id.,D,,,,,,1,,6,,,12,,,1,21,,,1,4,,,9,8,,,7,2,,,,,,,,,,,,,,,,,,,,,,,18,54,,,18,54,15,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,16,Bierbrouwers,A,,,,,,,,,,,1,,,,1,,,,1,,,12,13,1,,36,9,6,1,15,2,4,1,5,1,2,,4,,,,2,2,2,,,,,,74,30,15,2,89,32,16,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,17,id.,B,,,,,,,,,,,,,,,2,,,,2,,,3,5,,,3,,,,2,1,,,,,,,,,,,,,,,,,,,8,10,,,8,10,17,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,18,id.,C,,,,,,,,,,,,,,,5,,,,1,,,8,7,,,7,,,,1,,,,1,,,,1,,,,,,,,,,,,18,13,,,18,13,18,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,19,id.,D,,,,,,1,,10,,,12,,,1,41,,,12,19,,,71,53,,,87,21,,,26,3,,,11,1,,,1,,,,1,,,,,,,,210,161,,,210,161,19,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,20,Fabricage van azij,A,,,,,,,,,,,,,,,,,,,,,,4,2,,,11,,,,4,,,1,1,1,,1,,,,,1,,,,,,,,21,3,,2,21,5,20,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,21,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,21,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,22,id.,D,,,,,,,,2,,,,,,,3,,,,1,,,3,2,,,5,1,,,1,,,,,1,,,,1,,,1,,,,,,,,10,11,,,10,11,22,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,23,Fabricage van maltose,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,23,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,24,id.,D,,,,,,,,,,,,,,,1,,,1,1,,,9,,,,4,,,,2,,,,,,,,,,,,1,,,,,,,,17,2,,,17,2,24,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,25,Mouters,A,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,25,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,26,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,26,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,27,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,27,BT,1889_02_T3,160,161,HET RIJK,29_0449
,o,,Tabaksverwerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,28,Fabricage van sigaren en tabak,A,,,,,,,,,,,6,,,1,23,,,10,9,,,93,68,1,,167,18,4,1,66,7,3,,25,2,,,12,1,1,,12,3,2,,,,,,386,137,11,1,397,138,28,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,29,id.,B,,,,,,,,,,,,,,,3,,,,2,,,,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,8,,,2,8,29,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,30,id.,C,,,,,,,,,,,,,,,8,,,,1,,,7,4,,,19,2,,,9,,,,1,,,,1,,,,,,,,,,,,37,15,,,37,15,30,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,31,id.,D,,11,,163,9,247,11,529,25,,457,,32,33,824,1,74,64,220,3,24,656,326,14,60,434,81,16,3,122,10,2,,21,7,3,,9,,3,,4,1,,,,,,,1343,2876,42,238,1385,3114,31,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,32,Tabakskervers,A,,,,,,,,,,,,,,,1,,,2,,,,11,3,,,16,3,,,4,,,,5,,,,2,1,,,,,,,,,,,40,8,,,40,8,32,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,33,id.,B,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,33,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,34,id.,D,,2,,3,,1,,29,,,26,,,3,55,,,11,14,,,52,36,,,76,9,1,,34,6,,,11,1,,,11,,,,5,1,,,,,,,203,183,1,,204,183,34,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,,Totaal voor XVI,A,,,,,,,,7,,,18,,1,29,119,,2,113,81,1,2,1740,378,31,4,2561,197,91,9,1189,81,94,7,352,17,40,3,276,10,35,,185,13,43,1,1,,,,6446,921,335,29,6781,950,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,,Totaal voor XVI,B,,,,,,,,2,,,2,,,2,30,,,4,16,,,23,60,,,42,14,2,,15,4,,,3,1,1,,3,,,,1,,1,,,,,,93,129,4,,97,129,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,,Totaal voor XVI,C,,,,,,,,1,,,4,,,1,40,,,3,17,,,64,51,,1,123,10,,,38,,,,7,,,,5,,,,2,,,,,,,,243,123,,1,243,124,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,,Totaal voor XVI,D,,20,,230,12,436,23,1378,67,,1733,,91,88,3682,3,277,201,1015,4,65,2064,1731,26,116,1893,445,43,12,667,102,10,3,166,30,7,2,83,11,3,,48,3,,,,,,,5210,10816,96,668,5306,11484,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,,Totaal voor groep XVI,,,20,0,230,12,436,23,1388,67,0,1757,0,92,120,3871,3,279,321,1129,5,67,3891,2220,57,121,4619,666,136,21,1909,187,104,10,528,48,48,5,367,21,38,0,236,16,44,1,1,0,0,0,11992,11989,435,698,12427,12687,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,160,161,HET RIJK,29_0449
XVII,,,Landbouwbedrijven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,a,,Land- of akkerbouw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,35,Directeuren cultuurmaatschappij,B,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,4,,,,4,,35,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,36,Heideontginners,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,36,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,37,id,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,37,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,38,Landbouwers,A,,,,,,,,15,,,40,,1,54,278,5,10,151,152,12,9,4235,930,116,47,11242,1260,617,66,7974,764,935,54,3334,264,578,29,2420,232,536,20,2231,178,586,20,,,,,31641,4113,3385,256,35026,4369,38,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,39,id,B,,,,,,1,,1,,,5,,,,62,,3,5,57,,,76,161,,1,145,87,2,1,39,24,4,,12,11,,,7,8,1,,8,2,3,1,,,,,292,419,10,6,302,425,39,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,40,id,C,,,,,,,,,,,,,,,1,,,,2,,,12,4,,,14,3,,,5,,,,4,,,,1,,,,5,,,,,,,,41,10,,,41,10,40,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,41,id,D,,149,74,322,133,852,301,3112,1058,1,5278,2,1725,282,16273,49,4261,799,5406,67,1163,10711,11986,462,2207,15326,4317,699,635,8289,1399,493,243,2932,402,178,78,2124,234,142,35,1531,123,81,27,,2,1,,41995,49855,2174,11940,44169,61795,41,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,42,Mollenvangers,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,1,1,42,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,43,Tabaksplanters (verbouwers),A,,,,,,,,,,,,,,,,,,,,,,5,3,,,34,2,,,27,1,,,12,3,,,5,,1,,7,,2,,,,,,90,9,3,,93,9,43,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,44,id,B,,,,,,,,,,,,,,,,,,,,,,4,2,,,7,2,,,8,1,,,4,,,,,,1,,,,,,,,,,23,5,1,,24,5,44,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,45,id,D,,,,1,,1,,4,,,10,,,,22,,,,14,,,19,33,,1,47,23,1,,35,5,1,,15,3,3,,15,1,1,1,11,,1,,,,,,142,117,7,2,149,119,45,BT,1889_02_T3,160,161,HET RIJK,29_0449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,160,161,HET RIJK,29_0449
XVII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,b,,"Veeteelt, (incl. alle dieren,- paardenfokkerij, vogelteelt, enz.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,1,Bijenhouders,A,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,4,,,5,7,,,,,,,,3,,,5,1,,,,,,,13,17,,,13,17,1,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,2,id,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,3,id,D,,,,1,,,,,,,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,3,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,4,Eendenkooihouders,A,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,4,2,,,4,2,4,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,5,id,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,5,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,6,id,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,3,,,,3,,6,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,7,Hengstensnijders,D,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,7,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,8,Hoenderfokkers,A,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,8,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,9,Pluimgraven,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,10,Schaapherders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,2,,,,,,,,,,,,4,1,,,4,1,10,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,11,id,D,,20,,31,,48,1,138,,,93,,,,77,,,,14,,,17,58,,,27,61,,1,28,22,,,12,11,,,10,6,,,4,3,,,,,,,98,582,,2,98,584,11,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,12,Veefokkers,A,,,,,,,,,,,,,,2,7,,2,18,4,1,,246,23,6,,477,42,31,1,291,24,33,,77,7,8,1,69,2,16,,65,8,21,,,,,,1245,117,116,4,1361,121,12,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,13,id,B,,,,,,,,,,,,,,,1,,,,,,,4,5,,,3,5,,,4,,,,,,,,1,,,,,,,,,,,,12,11,,,12,11,13,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,14,id,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,14,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,15,id,D,,2,2,7,2,10,4,36,22,,66,,44,,225,,123,2,70,,26,40,132,1,36,69,37,1,8,22,4,2,2,4,3,,,6,1,,,3,,1,,,,,,146,593,5,269,151,862,15,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,16,Veehouders (melkboeren),A,,,,,,,,,,,,,,5,9,,,36,14,,,666,65,15,3,1266,96,61,1,751,65,87,4,232,17,39,1,187,18,45,1,185,12,59,,,,,,3328,296,306,10,3634,306,16,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,17,id,B,,,,,,,,,,,,,,,4,,,,4,,,3,11,,,10,7,,,2,3,,,3,,,,,1,,,,,,,,,,,18,30,,,18,30,17,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,18,id,C,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,18,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,19,id,D,,25,5,30,11,93,21,233,114,,348,,177,16,1093,1,553,24,339,1,168,406,608,8,174,536,155,5,19,265,50,5,4,77,8,2,2,61,4,,1,56,3,1,1,,,,,1441,2989,23,1250,1464,4239,19,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,20,Vogelkweekers,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,20,BT,1889_02_T3,162,163,HET RIJK,29_0450
,c,,"Tuinbouw, warmoezerij, ooft- en bloemkweekerij (incl. bollencultuur)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,21,Bloemisten,A,,,,,,,,1,,,1,,,,5,,,2,4,,,42,18,,1,37,8,2,,17,2,1,,14,1,1,,6,,,,6,,1,,,,,,124,40,5,1,129,41,21,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,22,id,B,,,,,,,,,,,,,,,,,,,1,,,1,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,4,,,2,4,22,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,23,id,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,1,23,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,24,id,D,,,,2,,9,,34,,,46,,,,84,,,4,25,,,31,28,,,23,4,,,16,,,,5,,,,2,,,,1,,,,,,,,82,232,,,82,232,24,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,25,Bloembollenkweekers,A,,,,,,,,,,,,,1,,,,,,,,,2,4,,,2,1,,,2,,,,,,,,1,,,,,,,,,,,,7,5,,1,7,6,25,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,26,id,D,,,,,,,,1,,,3,,,,4,,,,1,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,5,9,,,5,9,26,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,27,Tuinlieden (warmoeziers),A,,,,,,,,,,,5,,1,11,41,,,25,17,1,,437,64,6,2,833,63,17,2,566,37,35,,249,16,23,1,179,7,12,1,137,6,12,2,,,,,2437,256,106,9,2543,265,27,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,28,id,B,,,,,,,,1,,,1,,,,6,,1,,3,,,10,11,,,22,1,,,10,2,,,5,,,,,,,,2,,,,,,,,49,25,,1,49,26,28,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,29,id,C,,,,,,,,,,,,,,,,,,,,,,19,1,,,30,2,,,15,,,,2,,,,1,,,,3,,,,,,,,70,3,,,70,3,29,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,30,id,D,,,2,32,2,66,1,233,14,,345,,23,15,710,,54,28,211,,13,363,464,3,38,526,145,6,10,324,41,3,5,119,14,,,88,4,2,2,58,5,1,,,,,,1521,2270,15,164,1536,2434,30,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,31,Zaadteelers,A,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,31,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,32,id,D,,,,,,,,1,,,,,,,4,,1,,,,,3,1,,,6,,,,1,,,,,,,,,,,,,,,,,,,,10,6,,1,10,7,32,BT,1889_02_T3,162,163,HET RIJK,29_0450
,d,,Houtteelt (incl. boschbouw),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,33,Arbeiders duinbeplanting,D,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,1,,,,1,,,,,,,,6,1,,,6,1,33,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,34,Boomkweekers,A,,,,,,,,,,,,,,,3,,,,5,,,9,6,,,19,1,,,7,,1,,5,,,,2,1,,,5,1,,,,,,,47,17,1,,48,17,34,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,35,id,C,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,3,,,,4,,,,1,,,,1,,,,,,,,12,,,,12,,35,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,36,id,D,,,,,,1,,7,,,8,,,1,34,,,1,10,,,20,14,,,30,5,,,25,,,,6,,,,3,,,,3,,,,,,,,89,79,,,89,79,36,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,37,Boomsnoeiers,D,,,,,,,,1,,,,,,,1,,,,1,,,1,,,,3,,,,2,,,,,,,,,,,,2,,,,,,,,8,3,,,8,3,37,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,38,Boscharbeiders,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,4,,,,4,,38,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,39,id,D,,,,1,,,,1,,,3,,,,6,,,1,2,,,9,5,,,11,3,,,15,1,,,4,,,,,,,,,,,,,,,,40,22,,,40,22,39,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,40,Griendwerkers,A,,,,,,,,,,,,,,,,,,1,,,,4,1,,,5,,,,5,,,,1,,,,1,,,,,,,,,,,,17,1,,,17,1,40,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,41,id,D,,,,,,2,,7,,,6,,,1,15,,,,3,,,16,8,,,12,,,,7,,,,3,,,,2,,,,1,,,,,,,,42,41,,,42,41,41,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,,Totaal voor XVII,A,,,,,,,,17,,,46,,3,72,344,5,12,233,196,14,9,5647,1118,143,53,13938,1478,728,70,9648,900,1092,58,3925,308,649,32,2873,258,610,22,2642,206,681,22,,,,,38978,4871,3922,281,42900,5152,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,,Totaal voor XVII,B,,,,,,1,,2,,,6,,,,74,,4,5,65,,,99,193,,1,189,102,2,1,64,30,4,,25,11,,,9,9,2,,10,2,3,1,,,,,401,495,11,7,412,502,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,,Totaal voor XVII,C,,,,,,,,,,,,,,,1,,,1,2,,,32,9,,,47,5,,,24,,,,12,,,,5,,,,9,,,,,,,,130,17,,,130,17,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,,Totaal voor XVII,D,,196,83,427,148,1082,328,3809,1208,1,6208,2,1969,315,18550,50,4992,859,6006,68,1370,11638,13338,474,2456,16626,4750,712,673,9035,1558,504,254,3178,441,183,80,2314,250,145,39,1671,134,85,28,,2,1,,45637,56751,2224,13628,47861,70379,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,,Totaal voor groep XVII,,,196,83,427,148,1083,328,3828,1208,1,6260,2,1972,387,18969,55,5008,1098,6269,82,1379,17416,14658,617,2510,30800,6335,1442,744,18771,2488,1600,312,7140,760,832,112,5201,517,757,61,4332,342,769,51,0,2,1,0,85146,62134,6157,13916,91303,76050,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,162,163,HET RIJK,29_0450
XVIII,,,Visscherij (incl. vischkweekerij en jacht),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,a,,Zeevisscherij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,42,Haringvisschers,A,,,,,,,,,,,,,,,1,,,,,,,11,,,,13,,,,1,,,,,,,,1,,,,,,,,,,,,26,1,,,26,1,42,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,43,id,B,,,,,,,,,,,1,,,,,,,,,,,37,2,,,72,,,,9,,,,1,,,,1,,,,,,,,,,,,120,3,,,120,3,43,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,44,id,C,,,,,,,,,,,1,,,1,,,,1,,,,9,1,,,3,,,,4,,,,,,,,,,,,,,,,,,,,18,2,,,18,2,44,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,45,id,D,,,,12,,31,,77,,,68,,,8,121,,,31,18,,,206,34,,,199,9,,,98,1,,,24,,,,17,2,,,5,,,,,,,,588,373,,,588,373,45,BT,1889_02_T3,162,163,HET RIJK,29_0450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,162,163,HET RIJK,29_0450
XVIII,,1,Oesterputhouders,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,5,,1,BT,1889_02_T3,164,165,HET RIJK,29_0451
,,2,id,B,,,,,,,,,,,,,,,,,,,1,,,1,1,,,3,,,,2,,,,,,,,,,,,,,,,,,,,6,2,,,6,2,2,BT,1889_02_T3,164,165,HET RIJK,29_0451
,,3,id,C,,,,,,,,,,,,,,,1,,,,1,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,3,BT,1889_02_T3,164,165,HET RIJK,29_0451
,,4,id,D,,,,,,,,1,1,,5,,1,,10,,2,4,2,,,26,,1,,20,2,3,,14,,,,1,,,,,,,,,,,,,,,,65,20,4,4,69,24,4,BT,1889_02_T3,164,165,HET RIJK,29_0451
,,5,Schelpenvisschiers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,4,,,,4,,5,BT,1889_02_T3,164,165,HET RIJK,29_0451
