"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,26,id.,D,,,,,,1,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,5,26,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,27,Fabricage van siroop,A,,,,,,,,1,,,,,,,,,,,,,,,1,,,6,,,,3,,,,,,,,,,,,,,,,,,,,9,2,,,9,2,27,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,28,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,28,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,29,id.,C,,,,,,,,,,,,,,,3,,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,1,6,,,1,6,29,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,30,id.,D,,,,,,,,,,,1,,,1,1,,,,,,,,,,,9,,,,3,,,,1,,,,,,,,,,,,,,,,14,2,,,14,2,30,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,31,Fabricage van stijfsel,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,31,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,32,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,32,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,33,id.,D,,,,,,,1,3,2,,2,,6,,7,,3,2,3,,,25,2,,1,20,3,,,4,,,,1,,,,1,,,,,,,,,,,,53,20,,13,53,33,33,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,E.,,Cacao- en chocoladefabrieken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,34,Fabricage van cacao,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,34,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,35,id.,D,,,,1,,,,4,,,2,,,,1,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,8,,,6,8,35,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,36,Fabricage van chocolaad.,A,,,,,,,,,,,,,,,,,,,1,,,2,2,,,3,,,,1,,,,1,,,,,,,,,,,,,,,,7,3,,,7,3,36,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,37,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,37,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,38,id.,D,,,1,2,,5,4,17,8,,16,,1,1,24,,3,2,7,,1,15,11,1,1,26,2,,,8,1,,,3,,,,1,,,,,,,,,,,,56,85,1,19,57,104,38,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,F.,,"Koffie (bewerking van) cichorie, koffiestroop, enz)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,39,Fabricage van eiehorie en koffiestroop.,A,,,,,,,,,,,1,,,,,,,1,,,,2,1,,,5,3,,,3,,1,,2,,,,1,,1,,,1,,,,,,,14,6,2,,16,6,39,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,40,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,3,2,,,3,2,40,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,41,id.,D,,,,2,1,,2,7,1,,4,,4,,11,,10,,1,,1,5,4,,,5,,,,7,1,,,,,1,,3,,,,,,,,,,,,20,30,1,19,21,49,41,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,42,Koffiebranders,A,,,,,,,,,,,,,,,,,,1,,,,1,1,,,4,,,,,,,,2,,,,,,,,,,,,,,,,8,1,,,8,1,42,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,43,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,,2,,43,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,,Verduurzaamde levensmiddelen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,44,Augurkenzout,A,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,1,,,,,,,,,,,,,,,,5,,,,5,,44,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,45,id.,D,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,45,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,46,Fabricage van cosmestibles,A,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,46,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,47,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,47,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,48,id.,D,,,,,,,1,,2,,2,,1,,2,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,2,4,1,4,3,8,48,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,49,Fabricage van mosterd,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,4,,49,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,50,id.,D,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,50,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,51,Fabricage van oranjesnippers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,51,BT,1889_02_T4,216,217,HET RIJK,29_0477
,,,52,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,52,BT,1889_02_T4,216,217,HET RIJK,29_0477
,XVI,,1,Fabricage van verduurzaamde levensmiddelen,A,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,1,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,2,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,3,id.,D,,,,,,,,,,,,,,,1,,,2,,,,3,1,,,4,1,,,,,,,,,,,,,,,,,,,,,,,9,3,,,9,3,3,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,H.,,Vleesschbewerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,4,Fabricage van vleesschwaren,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,3,,,,3,,4,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,5,id.,D,,,,,,,,1,,,,,,,1,,,,2,,,2,2,,,6,,,,11,,,,1,,,,1,,,,1,,,,,,,,22,6,,,22,6,5,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,6,Paardenslagers,A,,,,,,,,,,,,,,,,,,,1,,,1,2,,,5,,,,4,,,,1,,,,1,,,,,,,,,,,,12,3,,,12,3,6,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,7,id.,D,,,,,,,,,,,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,7,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,8,Poeliers,A,,,,,,,,1,,,2,,,1,12,,,,6,,,28,9,,,36,4,,,17,,,,8,1,,,7,,,,3,1,,,,,,,100,36,,,100,36,8,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,9,id.,D,,,,,,,,2,,,1,,,,2,,,,1,,,,,,,,2,,,2,,,,,1,,,1,,,,,,1,,,,,,3,9,1,,4,9,9,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,10,Spekroosters,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,10,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,11,Spekslagers,A,,,,,,,,,,,,,,6,10,,,13,7,,,73,24,,,130,8,3,1,68,4,3,,24,1,1,,19,1,,,9,,1,,,1,,,342,56,8,1,350,57,11,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,12,id.,B,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,12,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,13,id.,C,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1,4,13,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,14,id.,D,,,,2,,7,,16,,,35,,,,68,,,1,18,,,24,24,,,14,6,,,11,3,,,3,,,,5,1,,,1,1,,,,,,,59,181,,,59,181,14,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,15,Vleesschhouwers,A,,,,,,1,,,,,5,,,7,38,,,24,24,2,,349,83,,1,607,60,4,1,338,26,15,2,90,6,4,,80,4,6,,86,6,6,,,,,,1581,253,37,4,1618,257,15,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,16,id.,B,,,,,,,,,,,,,,,7,,,,,,,1,6,,1,1,5,,,1,,,,,,,,,,,,,,,,,,,,3,18,,1,3,19,16,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,17,id.,C,,,,,,,,1,,,,,,1,8,,,,1,,,2,5,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,7,16,,,7,16,17,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,18,id.,D,,,,6,,29,,102,,,228,,,1,343,,,9,95,,,55,154,,,66,42,,,26,8,,,15,6,,,7,1,,,13,1,,,,,,,192,1015,,,192,1015,18,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,I.,,Vischbewerking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,19,Vischdrogers,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,19,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,20,id.,D,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,20,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,21,Vischrookers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,1,,,,1,,,,1,,,,,,,,,,,,7,,,,7,,21,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,22,id.,D,,,,,,,,,,,,,,,1,,,,,,,,2,,,8,3,,,3,,,,1,,,,1,,,,,,,,,,,,13,6,,,13,6,22,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,23,Vischschoonmakers,D,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,23,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,24,Vischzouters,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,4,,,,4,,24,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,25,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,25,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,K.,,Boter- en kaasbereiding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,26,Boterboeren,A,,,,,,,,,,,,,,,,,1,3,,,,6,,2,,16,,8,,1,,3,,2,,2,,1,,2,,,,,,,,,,29,,17,1,46,1,26,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,27,id.,D,,,,,,,,,6,,2,,11,,4,,19,,,,10,,1,6,2,1,,,2,1,,,,,,,,,,,,,,,,,,,,2,7,6,50,8,57,27,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,28,Fabricage van boter,A,,,,,,,,,,,,,,,,,,1,,,,7,3,,,7,,1,,2,,2,,1,,2,,1,,,,,,,,,,,,19,3,5,,24,3,28,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,29,id.,B,,,,,,,,,,,,,,,,,,,1,,,3,4,,,6,,,,3,1,,,,,,,,,,,,,,,,,,,12,6,,,12,6,29,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,30,id.,C,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,30,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,31,id.,D,,,,,,,1,4,2,,8,,3,1,22,,6,3,13,,2,33,21,3,2,35,3,4,,9,1,2,,,,,,1,,,,,,,,,,,,82,72,9,16,91,88,31,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,32,Fabricage van boter en kaas,A,,,,,,,,,,,,,,1,,,,,,,,15,,3,1,15,,5,,7,2,4,,3,,1,,,,,,,,1,,,,,,41,2,14,1,55,3,32,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,33,id.,B,,,,,,,,,,,,,,,1,,,,,,,3,2,,,6,,,,1,,,,,,,,,,,,,,,,,,,,10,3,,,10,3,33,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,34,id.,C,,,,,,,,,,,,,,,,,,,2,,,1,1,,,5,,,,1,,,,,,,,,,,,,,,,,,,,7,3,,,7,3,34,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,35,id.,D,,,,1,,1,,1,6,,6,,7,,16,,19,3,4,,4,21,14,3,2,20,2,7,,8,2,1,,7,,,,4,,1,,1,,,,,,,,64,47,12,38,76,85,35,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,36,Fabricage van kunstboter,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,1,,,,,,,,,,,,5,,,,5,,36,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,37,id.,B,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,37,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,38,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,38,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,39,id.,D,,,,,,,,,,,2,,,2,13,,1,3,7,,,24,9,,,32,4,,,9,1,1,,,,,,2,,,,,,,,,,,,72,36,1,1,73,37,39,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,,"Vruchtensappen, mineraalwater, ijsbereiding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,40,Fabricage van minerale wateren,A,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,1,1,,,,,,,,,,,,,,,,,,,8,2,,,8,2,40,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,41,id.,D,,,,,,,,1,,,1,,,,1,,,,1,,,1,3,,,2,,,,1,,,,1,,,,1,,,,,,,,,,,,6,7,,,6,7,41,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,42,Fabricage van vruchtensappen,A,,,,,,,,,,,,,,,,,,,,,,3,2,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,5,3,,,5,3,42,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,43,id.,D,,,,,,,,,,,,,,,,,,,,,,2,1,,,3,1,,,3,,,,,,,,,,,,,,,,,,,,8,2,,,8,2,43,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,M.,,"Jenever- en likeurstokerijen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,44,Branders (fabricage van alcohol),A,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,2,,,1,2,44,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,45,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,45,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,46,id.,D,,,,,,,,,,,,,,1,1,,,1,,,,7,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,16,1,,,16,1,46,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,47,Distillateurs,A,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,,,,3,,,,2,,,,,,,,,,,,,,,,9,1,,,9,1,47,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,48,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,48,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,49,Fabricage van gist,B,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,49,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,50,id.,C,,,,,,,,,,,,,,,,,,,,,,1,2,,,4,,,,1,,,,1,,,,,,,,,,,,,,,,7,2,,,7,2,50,BT,1889_02_T4,218,219,HET RIJK,29_0478
,,,51,id.,D,,,,,,,,,,,,,,,1,,,1,,,,13,1,,,10,,,,4,,,,3,,,,1,,,,1,,,,,,,,33,2,,,33,2,51,BT,1889_02_T4,218,219,HET RIJK,29_0478
,XVI,,1,Fabricage van likeuren,A,,,,,,,,,,,,,,,,,,,1,,,2,,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,6,1,,,6,1,1,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,2,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,3,id.,D,,,,,,,,2,,,2,,,,1,,,,3,,,3,3,,,4,,,,,,,,,,,,,1,,,,,,,,,,,7,12,,,7,12,3,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,N.,,"Brouwerij, azijnmakerij, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,4,Bierbottelaars,A,,,,,,,,,,,,,,,1,,,,,,,5,,,,8,1,,,3,,,,1,,,,,,,,,,,,,,,,17,2,,,17,2,4,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,5,id.,D,,,,,,,,1,,,,,,1,4,,,,1,,,3,3,1,,4,,,,,,,,,,,,,,,,,,,,,,,,8,9,1,,9,9,5,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,6,Bierbrouwers,A,,,,,,,,,,,,,,1,5,,,,8,,,36,22,2,,85,10,2,,44,11,1,,8,1,1,,7,6,2,,9,1,2,,,,,,190,64,10,,200,64,6,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,7,id.,B,,,,,,,,,,,,,,,1,3,,,1,3,,1,8,,,4,,,,,1,,,,,,,,,,,,,,,,,,,5,11,6,,11,11,7,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,8,id.,C,,,,,,,,1,,,,,,,1,,,1,,,,1,2,,,4,4,,,,1,,,,,,,,,,,,,,,,,,,6,9,,,6,9,8,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,9,id.,D,,2,,,,,,4,,,12,,,1,74,,,11,23,,,59,75,,,109,53,,,34,7,,,8,,,,4,,,,2,1,,,,,,,228,251,,,228,251,9,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,10,Fabricage van azijn,A,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,,,1,,,,,,1,,,,,,,,,,9,4,1,,10,4,10,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,11,id.,D,,,,,,,,,,,,,,,1,,,,,,,,1,,,4,,,,4,,,,,,,,1,,,,,,,,,,,,9,2,,,9,2,11,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,12,Mouters,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,12,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,13,id.,D,,,,,,,,1,,,,,,1,,,,,,,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,8,1,13,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,O.,,Tabakverwerking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,14,Fabricage van sigeren en tabak,A,,,,,,,,,,,,,,,26,,,8,23,,,62,53,,,78,14,1,,23,3,1,,9,,2,,5,,,,1,,,,,,,,186,119,4,,190,119,14,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,15,id.,B,,,,,,,,,,,,,,1,5,,,,1,,,,5,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,3,13,,,3,13,15,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,16,id.,C,,,,,,,,,,,,,,,7,,,,5,,,8,16,,,14,4,,,6,,,,,,,,1,,,,,,,,,,,,29,32,,,29,32,16,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,17,id.,D,,5,4,103,17,137,21,260,39,,272,,55,9,612,4,101,42,166,4,36,295,293,50,61,196,46,15,15,48,12,4,4,13,1,,1,4,,1,2,7,,4,2,1,,,,615,1907,82,358,697,2265,17,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,18,Fabricage van snuif,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,18,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,19,Tabakskervers,A,,,,,,,,,,,,,,,1,,,,,,,2,2,1,,6,2,,,4,1,1,,,1,,,2,,,,,,,,,,,,14,7,2,,16,7,19,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,20,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,20,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,21,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,2,2,,,2,2,21,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,22,id.,D,,,,,,,,6,,,8,,,,9,,,1,5,,,15,10,,,19,3,,,9,,,,2,1,,,2,,,,1,,,,,,,,49,42,,,49,42,22,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,,Totaal voor XVI,A,,,,,,1,,2,,1,12,,,50,163,1,3,142,125,2,,2043,469,35,4,3273,385,91,9,1685,116,116,6,498,33,43,3,335,32,46,2,287,21,39,,,1,,,8314,1360,373,27,8687,1387,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,,Totaal voor XVI,B,,,,,,,,,,,3,,,2,40,3,,3,21,3,,40,85,,1,53,21,1,,16,4,,,2,2,2,,3,2,1,,,2,,1,,,,,119,180,10,2,129,182,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,,Totaal voor XVI,C,,,,,,,,2,,,3,,1,1,32,,1,2,16,,,40,56,,,91,24,,,40,6,,1,8,1,,,11,,,,5,,,,,,,,198,140,,3,198,143,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,,Totaal voor XVI,D,,18,5,161,18,344,32,1092,71,,1634,,103,55,3645,5,188,145,1068,4,61,1190,1968,72,78,1307,492,27,19,433,115,11,4,105,21,1,2,74,9,2,2,43,7,5,2,1,,,,3353,10574,127,585,3480,11159,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,,Totaal voor groep XVI,,,18,5,161,18,345,32,1096,71,1,1652,0,104,108,3880,9,192,292,1230,9,61,3313,2578,107,83,4724,922,119,28,2174,241,127,11,613,57,46,5,423,43,49,4,335,30,44,3,1,1,0,0,11984,12254,510,617,12494,12871,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,XVII,,,Landbouwbedrijven.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,220,221,HET RIJK,29_0479
,,A.,,Land- of akkerbouw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,220,221,HET RIJK,29_0479
